"","country","title","date","keywords_found","keywords_count","count_Common_Prosperity","count_Taiwan","count_Hong_Kong","count_Taiwan_independence","count_great_rejuvenation_of_the_Chinese_nation","count_Ukraine","count_NATO","count_reunification","count_South_China_Sea","count_Xinjiang","count_India","count_Peaceful_Reunification","count_one_china_principle","count_Tibet","count_Chinese_Dream","count_Community_of_Common_Destiny","count_Crimea","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30","X.31","X.32","X.33","X.34","X.35","X.36","X.37","X.38","X.39","X.40","X.41","X.42","X.43","X.44","X.45","X.46","X.47","X.48","X.49","X.50","X.51","X.52","X.53","X.54","X.55","X.56","X.57","X.58","X.59","X.60","X.61","X.62","X.63","X.64","X.65","X.66","X.67","X.68","X.69","X.70","X.71","X.72","X.73","X.74","X.75","X.76","X.77","X.78","X.79","X.80","X.81","X.82","X.83","X.84","X.85","X.86","X.87","X.88","X.89","X.90","X.91","X.92","X.93","X.94","X.95","X.96","X.97","X.98","X.99","X.100","X.101","X.102","X.103","X.104","X.105","X.106","X.107","X.108","X.109","X.110","X.111","X.112","X.113","X.114","X.115","X.116","X.117","X.118","X.119","X.120","X.121","X.122","X.123","X.124","X.125","X.126","X.127","X.128"
"16","China","Remarks by Chinese Premier Li Qiang at the ASEAN-China-GCC Summit","5/28/2025 10:31","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","China","Writing a New Chapter in Building a China-LAC Community with a Shared Future","5/13/2025 17:54","[""Ukraine""]","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","China","H.E. Xi Jinping President of the People’s Republic of China for the Russian Gazette","5/7/2025 14:03","[""Taiwan"", ""Taiwan independence"", ""reunification""]","9","0","6","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","China","Remarks by H.E. Xi Jinping President of the People’s Republic of China at the Leaders Meeting on Climate and the Just Transition","4/23/2025 22:52","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","China","May the Ship of China-Malaysia Friendship Sail Toward an Even Brighter Future","4/15/2025 21:04","[""NATO""]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","China","Building on Past Achievements and Making New Advances In Pursuit of Shared Goals","4/14/2025 6:59","[""South China Sea""]","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","China","Keynote Speech by H.E. Ding Xuexiang Vice Premier of the State Council of the People’s Republic of China at the Opening Plenary of the Boao Forum for Asia Annual Conference 2025","3/28/2025 9:05","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","China","Written Remarks by H.E. Wang Yi Member of the Political Bureau of the CPC Central Committee And Foreign Minister of the People’s Republic of China at the International Symposium on the Implementation of the Outcome of the U.N. Summit of the Future","3/24/2025 11:55","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","China","A Steadfast Constructive Force in a Changing World","2/15/2025 10:30","[""reunification""]","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","China","Remarks by H.E. Xi Jinping President of the People’s Republic of China at the Welcoming Banquet of the Opening Ceremony of the Ninth Asian Winter Games Harbin","2/7/2025 13:57","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","China","Remarks by H.E. Wang Yi at the MFA New Year Reception 2025","1/24/2025 20:21","[""Xinjiang""]","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","China","Keeping to the Right Path of Multilateralism and Promoting Open and Inclusive Development","1/21/2025 22:02","[""NATO""]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","China","Riding the Trend of the Times with a Strong Sense of Responsibility","12/17/2024 21:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","China","s the SCO rotating chair"," support Brazil in hosting the BRICS summit and the U.N. Climate Change Conference (COP30)"," and work for a more just and equitable international order. Fifth"," China will be a firm force for inclusiveness in the face of ideological differences. We will promote the common values of humanity"," deepen exchanges and mutual learning with other countries"," join forces for the progress of human civilization"," and enhance the mutual understanding and friendship among people of different countries. We will step up experience-sharing on governance and development"," tell engaging stories of the CPC"," of Chinese modernization"," and of building a community with a shared future for mankind"," and cement China’s friendship with countries around the globe. We will expand two-way exchanges between the Chinese people and people elsewhere"," and do our best to stage a successful Asian Winter Games to showcase a diverse China through the charm of ice and snow. Dear Experts and Friends"," The monumental changes of our time call for a grand vision and a keen sense of responsibility. China’s diplomatic service will rally more closely around the CPC Central Committee with Comrade Xi Jinping at its core"," study"," contemplate"," apply and grasp Xi Jinping Thought on Diplomacy"," follow the principles of self-confidence and self-reliance"," openness and inclusiveness"," fairness and justice"," and cooperation and mutual benefit"," steadfastly advance the building of a community with a shared future for mankind"," keep breaking new ground for major-country diplomacy with Chinese characteristics in the new era"," and make new and greater contributions to building China into a great modern socialist country"," to the great rejuvenation of the Chinese nation"," and to peace and progress of humanity as a whole. Thank you!""","[""Taiwan"", ""Ukraine"", ""India"", ""South China Sea"", ""Common Prosperity"", ""Taiwan independence"", ""great rejuvenation of the Chinese nation""]","14","1","4","0","1","1","3","0","0","2","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","China","Working Together for a Fair and Equitable Global Governance System","11/19/2024 6:48","[""Ukraine"", ""NATO""]","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","China","Building a Just World of Common Development","11/18/2024 23:34","[""NATO"", ""Common Prosperity""]","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","China","A Friendship Spanning Vast Oceans A Voyage Toward a Brighter Shared Future","11/17/2024 13:13","[""Ukraine"", ""NATO""]","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","China","Shouldering Responsibility to Our Times And Jointly Promoting Asia-Pacific Development","11/16/2024 23:58","[""NATO"", ""Common Prosperity""]","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","China","Keeping Abreast of the Trend of the Times and Jointly Promoting Prosperity Around the World","11/16/2024 6:21","[""Common Prosperity""]","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","China","Xi Jinping Makes an Arrival Statement at the Callao Air Base in Lima, Peru","11/15/2024 23:00","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","China","China-Peru Friendship: Setting Sail Toward an Even Brighter Future","11/14/2024 17:33","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","China","Combining the Great Strength of the Global South to Build Together a Community with a Shared Future for Mankind","10/24/2024 18:31","[""Ukraine"", ""Common Prosperity""]","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","China","Embracing a Broader View and Cutting Through the Fog of Challenges to Advance High-Quality Development of Greater BRICS Cooperation","10/23/2024 20:11","[""Ukraine""]","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","China","Remarks by H.E. Li Qiang Premier of the State Council of the People’s Republic of China at the 23rd Meeting of the Council of Heads of Government of Member States of the Shanghai Cooperation Organization","10/16/2024 23:45","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","China","Remarks by H.E. Li Qiang Premier of the State Council of the People’s Republic of China at the 19th East Asia Summit","10/11/2024 22:00","[""South China Sea""]","6","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","China","Remarks by H.E. Li Qiang Premier of the State Council of the People’s Republic of China at the 27th ASEAN Plus Three Summit","10/10/2024 21:03","[""Hong Kong""]","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","China","Promoting Development for All and Bridging the AI Divide","9/30/2024 14:26","[""NATO""]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","China","Written Statement by H.E. Wang Yi Member of the Political Bureau of the CPC Central Committee and Minister of Foreign Affairs of the People's Republic of China at the 14th Ministerial Plenary Meeting of the Global Counterterrorism Forum","9/28/2024 8:43","[]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","China","Improving the Global Governance and Building a Just World and a Sustainable Planet","9/26/2024 23:35","[""Ukraine"", ""NATO""]","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
