"entity","count05","count06","count07","count08","count09","count10","count11","count12","count13.x","count14.x","count15.x","count16.x","count17.x","count18.x","count.x","count20.x","count13.y","count14.y","count15.y","count16.y","count17.y","count18.y","count.y","count20.y","count21","count22","count23","count24","count25"
"Kuala Lumpur",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"India",6,20,4,71,0,48,11,70,69,71,51,18,6,13,5,16,69,71,51,18,6,13,5,16,2,6,3,4,0
"Wen",6,0,22,26,40,56,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Peoples Republic of China",6,8,3,7,29,17,17,19,23,25,29,14,5,8,33,22,23,25,29,14,5,8,33,22,28,21,25,31,15
"Hong Kong",6,0,0,0,5,0,0,4,0,15,25,0,8,9,12,44,0,15,25,0,8,9,12,44,21,21,7,0,2
"Spanish",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",6,2,0,0,0,9,90,32,22,22,12,2,3,0,4,0,22,22,12,2,3,0,4,0,0,0,0,2,0
"the Chinese Government",6,17,13,36,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
"The United Nations",6,5,3,3,2,0,0,0,0,7,0,6,0,2,0,3,0,7,0,6,0,2,0,3,3,0,0,0,0
"New York",6,0,0,5,4,5,3,0,0,3,5,3,4,2,3,0,0,3,5,3,4,2,3,0,0,3,0,0,2
"Security Council",6,2,0,4,0,3,0,0,0,5,6,4,12,11,0,9,0,5,6,4,12,11,0,9,4,0,0,2,0
"Canada",6,0,0,0,86,39,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Wen Jiabao",5,3,13,19,7,19,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecotech",5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific",5,2,0,0,0,0,4,7,7,9,7,0,0,3,0,0,7,9,7,0,0,3,0,0,0,0,0,2,0
"a United Nations",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao",5,0,0,0,6,14,0,3,0,0,6,0,0,6,5,0,0,0,6,0,0,6,5,0,0,0,0,0,1
"The Security Council",5,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Mexico",5,0,0,3,0,0,0,10,46,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"the World Anti-Fascist War",5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10
"Europe",5,14,43,29,16,64,76,92,44,124,68,38,17,12,38,28,44,124,68,38,17,12,38,28,25,11,11,33,3
"KMT",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philippines",4,0,5,0,0,0,0,0,0,0,0,42,6,0,0,0,0,0,0,42,6,0,0,0,0,16,0,0,0
"German",4,0,0,0,0,3,64,10,8,7,0,0,0,0,0,0,8,7,0,0,0,0,0,0,2,2,0,0,0
"Beijing",4,10,7,27,8,15,8,25,11,24,41,22,10,9,30,29,11,24,41,22,10,9,30,29,11,11,11,14,11
"the UN Summit",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the UN Security Council",4,6,0,3,3,6,4,5,6,12,15,6,4,4,4,9,6,12,15,6,4,4,4,9,9,4,7,8,0
"Pacific Region",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fascist",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Straits",4,21,4,0,9,0,0,0,3,4,0,0,5,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0
"New Zealand",3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0
"Gentlemen",3,5,2,0,3,3,11,11,8,3,7,0,0,2,0,0,8,3,7,0,0,2,0,0,0,0,0,0,0
"Dato",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Seri Abdullah bin Haji Ahmad Badawi",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the European Union",3,0,3,0,2,0,10,8,4,3,8,0,0,0,3,0,4,3,8,0,0,0,3,0,3,0,5,0,0
"HE Hu Jintao",3,0,0,4,9,7,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North",3,0,0,0,4,4,10,0,3,0,0,0,2,4,0,0,3,0,0,0,2,4,0,0,0,0,0,0,1
"South",3,0,0,0,4,10,10,0,3,0,0,0,2,3,0,0,3,0,0,0,2,3,0,0,0,0,2,9,1
"North-South",3,2,7,4,0,4,8,6,9,5,14,0,0,2,3,0,9,5,14,0,0,2,3,0,6,7,0,6,4
"Madrid",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northeast",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Friends and Comrades",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Li Zhaoxing",3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South-South",3,14,2,8,10,6,7,5,7,13,33,6,8,6,9,13,7,13,33,6,8,6,9,13,10,11,8,7,2
"the Security Council Summit",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russia",3,10,17,23,58,26,39,59,75,39,25,19,21,34,81,52,75,39,25,19,21,34,81,52,23,25,39,27,7
"the Inter-Parliamentary Union",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mao Zedong",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,5,0,3,0,0,1
"Workshop",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",2,0,23,0,0,3,0,0,2,36,7,0,0,0,0,0,2,36,7,0,0,0,0,0,0,0,0,22,0
"the Republic of Korea",2,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"the East Asia Summit",2,0,3,0,0,0,6,0,4,0,0,0,2,0,2,0,4,0,0,0,2,0,2,0,0,0,0,0,0
"Cambodia",2,0,0,2,0,0,0,14,0,0,0,6,3,0,0,0,0,0,0,6,3,0,0,0,0,15,0,2,0
"Laos",2,0,0,5,0,0,3,0,0,0,6,5,4,3,0,0,0,0,6,5,4,3,0,0,2,6,0,2,0
"The United States",2,0,0,0,2,0,10,6,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,6,8,6,8,0,0
"the Chiang Mai Initiative",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the South China Sea",2,0,2,0,0,4,7,5,14,5,40,93,29,10,12,11,14,5,40,93,29,10,12,11,3,41,2,9,0
"Vietnam",2,0,0,0,0,0,0,0,0,3,75,9,0,2,0,0,0,3,75,9,0,2,0,0,0,0,0,0,0
"the ASEAN Community",2,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0
"Roh Moo-hyun",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WTO",2,20,7,0,6,0,23,8,6,3,12,0,6,12,24,16,6,3,12,0,6,12,24,16,17,12,2,11,6
"Doha",2,0,2,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shanghai",2,2,6,0,15,50,5,8,0,7,10,7,5,7,9,3,0,7,10,7,5,7,9,3,0,10,8,8,1
"Carlos",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heinrich von Pierer",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UN Security Council",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"the Central Committee of the Communist Party of China",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"the State Council",2,0,6,4,11,7,4,6,0,4,6,0,2,2,0,0,0,4,6,0,2,2,0,0,0,0,0,0,2
"New China",2,2,0,0,5,0,5,0,9,6,7,7,6,0,11,8,9,6,7,7,6,0,11,8,8,0,0,9,2
"the Korean Peninsula",2,0,5,0,4,8,12,12,24,17,28,12,18,11,9,6,24,17,28,12,18,11,9,6,3,4,0,2,0
"Peninsula",2,0,0,0,0,5,7,6,12,0,13,21,39,33,12,3,12,0,13,21,39,33,12,3,4,0,0,0,0
"Kofi Annan",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Chinese Government",2,13,19,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bush",2,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Millennium Development Goals",2,4,6,4,5,9,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Making Great Efforts to Build a Harmonious World",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UN General Assembly",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,4,0
"the Security Councils",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wu Bangguo",2,15,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"the Asian-Pacific Group",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IPU",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Peoples Congress",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anti-Fascist",2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Fascism",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Chinese Peoples War of Resistance Against Japanese Aggression",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"East",2,2,0,0,2,8,0,0,0,8,11,0,3,0,0,0,0,8,11,0,3,0,0,0,0,0,0,0,2
"Red Army",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the New Fourth Army",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Japanese Government",2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Rape of Nanjing",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louise Arbour",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the League of Arab States",2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"the Association of Southeast Asian Nations",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the South Asian Association for Regional Cooperation",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Pacific Islands Forum",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inclusion",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peaceful Development",1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kuala",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladies and Gentlemen Dear Friends",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the East Asia Summit Leaders Dialogue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Asia Summit",1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Western China",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northeast China",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southeast Asian",1,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0
"Southeast Asia",1,3,0,0,0,6,7,0,9,4,17,4,5,2,2,0,9,4,17,4,5,2,2,0,0,3,4,0,2
"the East ASEAN Growth Area",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-ASEAN Free Trade Area",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greater Mekong Subregion",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",1,0,0,3,0,0,4,0,3,22,21,8,5,11,4,64,3,22,21,8,5,11,4,64,17,6,2,12,0
"American",1,2,6,11,0,15,24,34,5,5,46,18,0,0,6,36,5,5,46,18,0,0,6,36,9,9,22,7,0
"North America",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"the East Asia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Shanghai Cooperation Organization SCO",1,3,3,0,2,3,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,4,0,4,0
"ASEAN Regional Forum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia Cooperation Dialogue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Pacific Economic Cooperation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Europe Meeting",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASEM",1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Asia-Latin America Cooperation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia-Middle East",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Asian Association for Regional Cooperation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASEAN Plus Three Summit",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Malaysian Government",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Indian Ocean",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The East Asia Forum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEAT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Joint Study Convention",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Asia Free Trade Area",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Asian Regional Research Center",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNDP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poverty Alleviation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the United States",1,3,37,44,40,70,119,127,65,61,82,31,22,17,30,49,65,61,82,31,22,17,30,49,64,49,84,14,0
"Deepen Comprehensive Cooperation and",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Agreement Area",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Working Group",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Second Greater Mekong Subregion Economic Cooperation Summit",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kunming",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China-ASEAN Eminent Persons Group",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-ASEAN Plan of Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Agreement on Trade in Goods",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mekong Basin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China-ASEAN Information Highway",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greater Mekong Subregion Information Highway",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-ASEAN Fund for Public Health",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Bird Flu Reference Laboratory",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China-ASEAN Health Ministers Meeting on Emerging Infectious Diseases",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the International Pledging Conference on Avian and Human Influenza",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the World Bank",1,0,0,0,5,5,0,0,3,4,7,0,0,0,4,0,3,4,7,0,0,0,4,0,0,3,0,3,0
"Summit Busan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the UN International Conference on Financing for Development",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speech",1,0,2,2,6,3,5,9,10,6,5,0,0,2,0,4,10,6,5,0,0,2,0,4,0,0,4,0,1
"Fellow Colleagues",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Government of the Republic of Korea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Development of Renewable Energy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Bogor Goals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IAP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busan Lotte Hotel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Later Hu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chey Tae-won",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Koreas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SK Group",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busan Hur Nam-sik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Chinese Consulate General",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Juan Carlos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King Carlos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0,71,0,3,0,15,0,0,19,32,34,0,2,0,2,0,19,32,34,0,2,0,2,0,0,0,0,37,2
"SCO",0,62,46,14,34,64,17,71,22,39,61,5,2,12,65,73,22,39,61,5,2,12,65,73,3,70,27,40,31
"Chile",0,47,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Arab",0,38,0,7,59,0,0,56,0,45,0,91,5,9,5,4,0,45,0,91,5,9,5,4,7,22,7,77,0
